         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
      173    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:488(__exit__)
       16    0.000    0.000    0.000    0.000 _colorize.py:115(__annotate__)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       14    0.000    0.000    0.000    0.000 annotationlib.py:643(__init__)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:238(__set_name__)
      109    0.000    0.000    0.000    0.000 __init__.py:17(set_module)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       41    0.000    0.000    0.000    0.000 dataclasses.py:591(_field_init)
        1    0.000    0.000    0.010    0.010 hashlib.py:1(<module>)
       45    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        2    0.000    0.000    0.000    0.000 __init__.py:271(POINTER)
       41    0.000    0.000    0.000    0.000 inspect.py:1338(formatannotation)
        1    0.000    0.000    0.026    0.026 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       50    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        1    0.000    0.000    0.000    0.000 numeric.py:909(outer)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        5    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
       28    0.000    0.000    0.001    0.000 inspect.py:3031(from_callable)
      207    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       31    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.016    0.016 __init__.py:835(_mac_os_check)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       59    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       55    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
       41    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:148(_check_size)
       10    0.000    0.000    0.000    0.000 typing.py:2258(runtime_checkable)
        1    0.000    0.000    0.083    0.083 __config__.py:1(<module>)
      112    0.000    0.000    0.000    0.000 typing.py:1721(__eq__)
        4    0.000    0.000    0.000    0.000 annotationlib.py:352(__convert_to_ast)
       56    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
      142    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      100    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       82    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        5    0.000    0.000    0.004    0.001 dataclasses.py:1431(wrap)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
